,fr,en
ACTIONS06,"Écouter Fourmi, spécialiste de l’élevage.","Listen to Ant, expert in breeding."
ACTIONS07,Voir le résultat des délibérations.,See the outcome of the hearings.
TIQUE00,Tique a un plan anti-humain à nous présenter.,Tick has an anti-human plan to present to us.
TIQUE01,Et c’est un sacré bon plan.,And it's one hell of a good plan.
TIQUE02,"Tout d’abord, je tiens à préciser que nous ne sommes pas seuls sur ce projet : c’est une collaboration avec les bactéries et les rats.","First of all, I'd like to point out that we're not alone in this project; it’s a collaboration with bacteria and rats."
TIQUE03,Les bactéries ont développé une nouvelle infection anti-humains.,Bacteria have developed a new anti-human infection.
TIQUE04,"Une infection test sur un groupe de Bêtes humaines isolées dans le grand ensemble rouge s’est montrée particulièrement efficace,","A test infection on a group of human Beasts isolated in the large red landmass was particularly effective,"
TIQUE05,et nous pensons que les autres humains n’en ont pas entendu parler.,and we believe that other humans have not heard about it.
TIQUE06,"Les rats nous transporteront jusqu’aux cibles. Mais, il va falloir faire un choix.","The rats will carry us to the targets. But, we'll have to make a choice."
TIQUE07,"Soit attaquer les tribus de Bêtes, soit affronter les Horreurs dans leurs blocs de bétons.",Either attack the Beast tribes or face the Horrors in their concrete blocks.
TIQUE08,"Attaquer directement les Horreurs mènera à d’immenses pertes, mais les rats sont prêts à ce sacrifice pour la cause.","Attacking the Horrors directly would result in huge losses, but the rats are willing to make that sacrifice for the cause."
TIQUE09,"Cependant, nous savons que, contrairement à la bonne époque, ils peuvent développer des remèdes plus vite que nous des maladies.","However, we know that, unlike in the good old days, they can develop cures faster than we can develop diseases."
TIQUE10,"Si un bloc d’Horreurs survit, les humains seront peut-être capables de repeupler les autres blocs.","If one block of Horrors survives, humans may be able to recolonise the other blocks."
TIQUE11,"À l’inverse, nous pensons pouvoir coordonner une attaque simultanée sur toutes les tribus de Bêtes.","On the contrary, we believe we can coordinate a simultaneous attack on all the Beast tribes."
TIQUE12,"Bien sûr, les Horreurs auront tout le temps de développer un remède.","Of course, the Horrors will have plenty of time to develop a cure."
TIQUE13,"Mais, nous avons remarqué que les Horreurs vont régulièrement capturer de jeunes femelles reproductrices chez les Bêtes.",But we've noticed that the Horrors regularly capture young breeding females from among the Beasts.
TIQUE14,Nous pouvons faire le pari que les rares femelles Horreurs ne sont plus capables de se reproduire.,We may assume that the few female Horrors are no longer fit to reproduce.
TIQUE15,"Et alors, sans femelle Bête, les Horreurs disparaîtront.","And so, without a female Beast, the Horrors will disappear."
TIQUE16,Frappons directement à la source du mal !,Let's strike directly at the source of evil!
TIQUE17,"Non, éliminons d’abord les faibles !","No, let's eliminate the weaker ones first!"
TIQUE18,À bas les Horreurs !,Down with the Horrors!
TIQUE19,"Patience, patience, nous avons encore d’autres actions à étudier avant de voter. Cependant, je dois dire que :","Be patient, be patient, we still have other actions to consider before voting. However, I should say that:"
TIQUE20,L’attaque directe des Horreurs me plaît.,I like the direct attack of the Horrors.
TIQUE21,Priver les Horreurs de femelle est une solution nouvelle et pleine de promesses.,Taking away the female from the Horrors is a new and promising solution.
ESCARGOT00,Escargot a un plan anti-humain à nous présenter.,Escargot has an anti-human plan to present to us.
ESCARGOT01,Et oui.,"Yes, indeed."
ESCARGOT02,…,…
ESCARGOT03,Notre proposition est simple.,Our approach is quite simple.
ESCARGOT04,…,…
ESCARGOT05,Elle est inspirée d’une tactique qu’employaient jadis nos camarades aquatiques pour lutter contre l’exploitation de la pierre luisante.,It is inspired by a tactic once used by our aquatic comrades to combat the exploitation of the shiny stone.
ESCARGOT06,…,…
ESCARGOT07,Nos camarades agglutinaient leurs coquilles sur les grilles d’évacuation. Les machines à énergie humaine surchauffaient et cassaient.,"They were clogging up the drainage grates with their shells, and the humans' energy-machines were overheating and breaking down."
ESCARGOT08,…,…
ESCARGOT09,"Nous proposons de nous jeter par milliards dans les trous d’air des blocs de béton des Horreurs. De les faire suffoquer, surchauffer. Et de les laisser souffrir.",We propose throwing ourselves by the billions into the air holes of the Horrors' concrete blocks. We’ll suffocate and overheat them. And let them suffer.
ESCARGOT10,…,…
ESCARGOT11,Ce sera une opération en mémoire de toutes nos frœurs qui sont mort·e·s sous les disques noirs des boîtes à bouger humaines.,This will be an operation in memory of all our brosis who died under the black discs of human moving boxes.
ESCARGOT12,…,…
ESCARGOT13,"Clap, clap !","Clap, clap !"
ESCARGOT14,Ha ha ha !,Ha ha ha!
ESCARGOT15,Ce plan à l’air de vous tenir à cœur. ,This plan seems to be very important to you.
ESCARGOT16,"Effectivement, votre sacrifice pourrait porter un coup fatal aux Horreurs.","Indeed, your sacrifice could deal a fatal blow to the Horrors."
ESCARGOT17,Êtes-vous sûrs d’arriver à boucher les trous sans être remarqués ? Vous pourriez continuer à travailler tranquillement à la restauration des sols.,Are you sure you can fill in the holes without being noticed? You could continue working steadily on restoring the soil.
FOURMI00,Fourmi a un plan de restauration des sols à nous présenter.,Ant has a soil restoration plan to present to us.
FOURMI01,En effet.,Correct.
FOURMI02,"Mais, il requiert votre coopération à tous, j’ai bien dit tous ! En effet, après des générations de croisements, nous avons enfin atteint notre objectif.","However, it requires the cooperation of everyone, and I mean everyone. Indeed, after generations of crossbreeding, we've finally achieved our goal."
FOURMI03,"En effet, nous avons créé une nouvelle variété, non, c’est carrément une nouvelle espèce,","Indeed, we've created a new variety. No, it’s quite simply a new species,"
FOURMI04,nous avons créé une nouvelle espèce de champignons capables de secréter une substance à double propriété : acide contre le béton et oxydante contre les tiges de métal.,we’ve created a new species of fungus capable of secreting a substance with dual properties: acidic against concrete and oxidising against metal rods.
FOURMI05,"Mais, il y a toujours un ‘mais’.",But there’s always a “but”.
FOURMI06,"Il y en a même deux, des ‘mais’.","Actually, there are two “buts”."
FOURMI07,"En effet, nos champignons ont besoin d’énormément de ressources pour leur activité. Nous vous demanderons donc de réorienter une grande partie des flux de nourriture en notre faveur.","Indeed, our fungi require enormous resources for their activity, so we'll ask you to redirect a large part of the food supply to us."
FOURMI08,"En effet, c’est un gros effort que nous vous demandons, mais nous avons déjà su prouver l’efficacité de notre organisation.","Indeed, we're asking a great deal of you, but we've already proven how efficient our organisation is."
FOURMI09,"Et cette situation sera provisoire, bien sûr.","And this situation will be temporary, of course."
FOURMI10,Menteurs !,Liars!
FOURMI11,"Deuxième ‘mais’. Nos champignons étant particulièrement toxiques, nous demanderons à toutes les espèces travaillant sur les blocs de béton d’aller vivre ailleurs pendant la durée des opérations.","Second ‘but’: as our mushrooms are particularly toxic, we’ll ask all species working on the concrete blocks to go and live elsewhere for the duration of the operations."
FOURMI12,"Provisoirement, bien sûr.","Temporarily, of course."
FOURMI13,Despotes !,Tyrants!
FOURMI14,"Mais, en effet, nous prévoyons de dégrader 80 pour cent des gravats durant les dix prochains cycles solaires.","But, indeed, we plan to degrade 80 per cent of the rubble over the next ten solar cycles."
FOURMI15,"Comme toujours, vous souhaitez employer les grands moyens.","As always, you want to pull out all the stops."
FOURMI16,"Aux grands maux, les grands remèdes, Fourmi, nous vous confions notre avenir.","Desperate times call for desperate measures, Ant. We entrust our future to you."
FOURMI17,"C’est les pleins pouvoirs que vous demandez, Fourmi ! L’Assemblée des Décomposeurs ne peut accepter cela. Continuez plutôt à vous occuper des forêts.","You're asking for full powers, Ant! The Assembly of Decomposers can't accept that. Just keep looking after the forests instead."
VOTE00,"Acarien, vous êtes vraiment écouté et respecté par toutes les espèces.","Mite, you are truly listened to and respected by all species."
VOTE01,Vos commentaires ont semble-t-il pesé sur le vote final de l’Assemblée.,Your comments appear to have influenced the final vote of the decomposers.
VOTE02,Allez donc annoncer le résultat vous-même.,Go and tell them the result yourself.
VOTE03,"Chères espèces, à l’issue de l’Assemblée des Décomposeurs, et après avoir été dument informés, vous avez choisi les orientations pour les dix prochains cycles solaires.","Dear species, following the Assembly of Decomposers, and having been duly informed, you have chosen the guidelines for the next ten solar cycles."
VOTE04,À savoir :,Specifically:
VOTE05,"Infester les Horreurs et bloquer leurs trous d’air, tout en laissant les fourmis se débarrasser de tous les restes de béton.","Infect the Horrors and block their air holes, while letting the ants get rid of all the concrete debris."
VOTE06,"Infecter les Horreurs et bloquer leurs trous d’air, tout en demandant aux fourmis de rester à leur place, dans la forêt.","Infect the Horrors and block their air holes, while instructing the ants to stay put in the forest."
VOTE07,Infecter les Horreurs et demander aux escargots comme aux fourmis de s’occuper du béton.,"Infect the Horrors, and ask the snails and ants to get rid of the concrete."
VOTE08,"Infecter les Horreurs, concentrer les escargots sur les restes de béton et demander aux fourmis de rester à leur place, dans la forêt.","Infect the Horrors, direct the snails towards the concrete remains, and instruct the ants to stay put in the forest."
VOTE09,"Infecter les Bêtes tout en bloquant les trous d’air des Horreurs, et laisser les fourmis se débarrasser de tous les restes de béton.","Infect the Beasts while blocking the air holes of the Horrors, and let the ants get rid of all the concrete debris."
VOTE10,"Infecter les Bêtes tout en bloquant les trous d’air des Horreurs, et demander aux fourmis de rester à leur place, dans la forêt.","Infect the Beasts while blocking the air holes of the Horrors, and ask the ants to stay put in the forest."
VOTE11,Infecter les Bêtes et demander aux escargots comme aux fourmis de s’occuper du béton.,"Infect the Beasts, and ask the snails and ants to get rid of the concrete."
VOTE12,"Infecter les Bêtes, concentrer les escargots sur les restes de béton et demander aux fourmis de rester à leur place, dans la forêt.","Infect the Beasts, direct the snails towards the concrete remains, and instruct the ants to stay put in the forest."
VOTE13,Revoir les actions possibles.,Reconsider available actions.
FIN_COMMUN00,"Mes chères espèces, voilà 310 cycles solaires que la Grande Extinction s’est produite.","My dear species, the Great Extinction occurred 310 solar cycles ago."
FIN_COMMUN01,"Lors de notre grande commémoration des 300 cycles, l’Assemblée des Décomposeurs avait pris de grandes décisions.","During our celebration of the 300 cycles, the Assembly of Decomposers made several important decisions."
FIN_COMMUN02,Dressons-en un petit bilan.,Let's take look at the outcomes.
FIN_COMMUN03,"Mais avant de commencer les discussions, il est temps de laisser ma place.","But before we begin proceedings, it’s time for me to step down."
FIN_COMMUN04,Nous allons passer à l’élection du nouveau modérateur.,We will now elect the new moderator for this Assembly.
FIN_COMMUN05,"Clap, clap !","Clap, clap!"
FIN_COMMUN06,Enfin !,Early enough!
FIN_COMMUN07,Bravo !,Bravo!
FIN_COMMUN08,Hypocrite !,You hypocrite!
FIN_HBC00,"Attaqués sur deux fronts, les Horreurs et leurs machines n’ont pu lutter.","During the double attack, the Horrors and their machines were unable to fight on both fronts at once."
FIN_HBC01,Voilà plus de 5 cycles que nous n’avons pas eu le moindre signe d’une activité des Horreurs.,It’s been more than five cycles since the last sign of activity from the Horrors.
FIN_HBC02,"Une période d’observation plus longue est nécessaire, mais, nous en sommes peut-être débarrassés.","A more extended monitoring period is required, but we may be rid of them."
FIN_HBC03,"Nous serons éternellement reconnaissants aux tiques, aux rats, aux escargots et à nos délicieuses petites bactéries pour leur bravoure.","Our eternal gratitude goes to ticks, rats, snails, and our lovely little bacteria for their bravery."
FIN_HBC04,"Il reste de nombreuses colonies de Bêtes, et cela sera une des tâches de la présente Assemblée de décider de leur sort.","There are still many colonies of Beasts, and it will be one of the tasks of this Assembly to decide their fate."
FIN_HBC05,Un sujet plus délicat malheureusement. Vous avez tous remarqué l’absence d’un représentant des fourmis dans cette Assemblée.,"Sadly, there is a more sensitive matter. You’ve all noticed the absence of an ant representative in this Assembly."
FIN_HBC06,Celles-ci ont tenu leur promesse de dégrader les gravats de béton.,They delivered on their promise to break down the concrete rubble.
FIN_HBC07,"Mais, elles exigent désormais des versements de ressources exorbitants pour simplement traverser les aires qu’elles ont nettoyées.","However, they now demand exorbitant resources simply to pass through the areas they cleared."
FIN_HBC08,Cela sera le cœur des discussions de ce jour : comment aborder le problème fourmis ?,It will likely be the focus of today's talks: how to tackle the ant problem?
FIN_HBF00,"Attaqués sur deux fronts, les Horreurs et leurs machines n’ont pu lutter.","During the double attack, the Horrors and their machines were unable to fight on both fronts at once."
FIN_HBF01,Voilà plus de 5 cycles que nous n’avons pas eu le moindre signe d’une activité des Horreurs.,It’s been more than five cycles since the last sign of activity from the Horrors.
FIN_HBF02,"Une période d’observation plus longue est nécessaire, mais, nous en sommes peut-être débarrassés.","A more extended monitoring period is required, but we may be rid of them."
FIN_HBF03,"Nous serons éternellement reconnaissants aux tiques, aux rats, aux escargots et à nos délicieuses petites bactéries pour leur bravoure.","Our eternal gratitude goes to ticks, rats, snails, and our lovely little bacteria for their bravery."
FIN_HBF04,"Il reste de nombreuses colonies de Bêtes, et cela sera une des tâches de la présente Assemblée de décider de leur sort.","There are still many colonies of Beasts, and it will be one of the tasks of this Assembly to decide their fate."
FIN_HBF05,Un sujet plus délicat malheureusement.,"Sadly, there is a more sensitive matter."
FIN_HBF06,Vous avez tous remarqué l’absence d’un représentant des fourmis dans cette Assemblée.,You’ve all noticed the absence of an ant representative in this Assembly.
FIN_HBF07,"Lors de la dernière Assemblée, leur représentante était partie vexée.","At the last meeting, their representative left in a huff."
FIN_HBF08,"Nous n’avons eu que peu de nouvelles depuis, et pour cette Assemblée, elles nous ont juste fait parvenir ce message par l’intermédiaire de Termite :","We've heard little since then, and for this Assembly, they just sent us a message via Termite:"
FIN_HBF09,"‘Débrouillez-vous avec votre béton, nos colonies s’épanouissent très bien sans votre coopération.’","‘Deal with your concrete yourselves, our colonies are thriving perfectly well without your cooperation.’"
FIN_HBF10,"D’ailleurs, le problème des gravats reste ouvert et sera probablement le cœur des discussions de ce jour.","Moreover, the issue of rubble remains unaddressed and will likely be the focus of today's discussions."
FIN_HRC00,"Lors de la grande attaque, les Horreurs et les machines n’ont pu sauver qu’un seul de leurs blocs.","During the great attack, the Horrors and the machines were only able to save one of their blocks."
FIN_HRC01,"Malheureusement, des observations récentes montrent qu’elles seraient en train d’en nettoyer un autre.","Sadly, recent observations show that they may be in the midst of cleaning up another one."
FIN_HRC02,"Nous sommes tout de même très reconnaissants aux tiques, aux rats, et aux bactéries pour leur bravoure.","Nevertheless, we're very grateful to ticks, rats, and bacteria for their bravery."
FIN_HRC03,"Pendant ce temps, des colonies de Bêtes sont apparues dans les terres gelées.","Meanwhile, colonies of Beasts have appeared in the frozen lands."
FIN_HRC04,De nouvelles attaques sur les humains sont donc à l’ordre du jour de la présente Assemblée.,"Therefore, new attacks on humans are on the agenda of this Assembly."
FIN_HRC05,Un autre sujet délicat :,Another sensitive matter:
FIN_HRC06,les conflits permanents entre les escargots et les fourmis autour de la dégradation du béton s’étendent et affectent maintenant les autres espèces.,the ongoing conflicts between snails and ants over concrete degradation are spreading and now affecting other species.
FIN_HRC07,Nous encourageons leurs délégués à entamer des discussions constructives durant cette Assemblée.,We urge their officials to engage in constructive discussions during this Assembly.
FIN_HRF00,"Lors de la grande attaque, les Horreurs et les machines n’ont pu sauver qu’un seul de leurs blocs.","During the great attack, the Horrors and the machines were only able to save one of their blocks."
FIN_HRF01,"Malheureusement, des observations récentes montrent qu’elles seraient en train d’en nettoyer un autre.","Sadly, recent observations show that they may be in the midst of cleaning up another one."
FIN_HRF02,"Nous sommes tout de même très reconnaissants aux tiques, aux rats, et aux bactéries pour leur bravoure.","Nevertheless, we're very grateful to ticks, rats, and bacteria for their bravery."
FIN_HRF03,"Pendant ce temps, des colonies de Bêtes sont apparues dans les terres gelées.","Meanwhile, colonies of Beasts have appeared in the frozen lands."
FIN_HRF04,De nouvelles attaques sur les humains sont donc à l’ordre du jour de la présente Assemblée.,"Therefore, new attacks on humans are on the agenda of this Assembly."
FIN_HRF05,La dégradation du béton par les escargots progresse.,The degradation of concrete by snails is progressing.
FIN_HRF06,Des propositions d’accélération seront discutées aujourd’hui.,"Today, we will discuss proposals for acceleration."
FIN_HRF07,"Malheureusement, ce sera sans les fourmis.","Sadly, it will be without the ants."
FIN_HRF08,"Vous savez tous que la dernière fois, leur représentante était partie vexée.","At the last meeting, their representative left in a huff."
FIN_HRF09,"Nous n’avons eu que peu de nouvelles depuis, et pour cette Assemblée, elles nous ont juste fait parvenir ce message par l’intermédiaire de Termite :","We've heard little since then, and for this Assembly, they just sent us a message via Termite:"
FIN_HRF10,"‘Débrouillez-vous avec votre béton, nos colonies s’épanouissent très bien sans votre coopération.’","‘Deal with your concrete yourselves, our colonies are thriving perfectly well without your cooperation.’"
FIN_BBC00,L’attaque contre les Bêtes a été particulièrement efficace et elles sont désormais un souvenir.,"The attack on the Beasts proved particularly decisive, and they're now a thing of the past."
FIN_BBC01,La disparition des femelles reproductrices combinée au blocus aérien des escargots a mené à la disparition de quatre blocs d’Horreurs.,The extinction of breeding females combined with the aerial blockade of snails led to the elimination of four blocks of Horrors.
FIN_BBC02,"Un seul bloc a résisté, mais, il est privé de toute aide extérieure.","Only one bloc resisted, but it’s deprived of any outside help."
FIN_BBC03,"Nous serons éternellement reconnaissants aux tiques, aux rats, aux escargots et à nos délicieuses petites bactéries pour leur bravoure.","Our eternal gratitude goes to ticks, rats, snails, and our lovely little bacteria for their bravery."
FIN_BBC04,"Durant cette Assemblée, nous discuterons du meilleur moyen d’achever enfin la grande extinction.","During this Assembly, we shall discuss the best means of finally completing the Great Extinction."
FIN_BBC05,Un sujet plus délicat malheureusement :,"Sadly, there is a more sensitive matter:"
FIN_BBC06,vous avez tous remarqué l’absence d’un représentant des fourmis dans cette Assemblée.,You've all noticed the absence of an ant representative in this Assembly.
FIN_BBC07,Celles-ci ont tenu leur promesse d’alors de dégrader les gravats de béton.,They delivered on their promise to break down the concrete rubble.
FIN_BBC08,"Mais, elles exigent désormais des versements de ressources exorbitant pour simplement traverser les aires qu’elles ont nettoyées.","However, they now demand exorbitant resources simply to pass through the areas they’ve cleared."
FIN_BBC09,Cela sera le cœur des discussions de ce jour : comment aborder le problème fourmis ?,It will likely be the focus of today's talks: how to tackle the ant problem?
FIN_BBF00,L’attaque contre les Bêtes a été particulièrement efficace et elles sont désormais un souvenir.,"The attack on the Beasts proved particularly decisive, and they're now a thing of the past."
FIN_BBF01,La disparition des femelles reproductrices combinée au blocus aérien des escargots a mené à la disparition de quatre blocs d’Horreurs.,The extinction of breeding females combined with the aerial blockade of snails led to the elimination of four blocks of Horrors.
FIN_BBF02,"Un seul bloc a résisté, mais, il est privé de toute aide extérieure.","Only one bloc resisted, but it’s deprived of any outside help."
FIN_BBF03,"Nous serons éternellement reconnaissants aux tiques, aux rats, aux escargots et à nos délicieuses petites bactéries pour leur bravoure.","Our eternal gratitude goes to ticks, rats, snails, and our lovely little bacteria for their bravery."
FIN_BBF04,"Durant cette Assemblée, nous discuterons du meilleur moyen d’achever enfin la grande extinction.","During this Assembly, we shall discuss the best means of finally completing the Great Extinction."
FIN_BBF05,Un sujet plus délicat malheureusement.,"sadly, there is a more sensitive matter. "
FIN_BBF06,Vous avez tous remarqué l’absence d’un représentant des fourmis dans cette Assemblée.,You’ve all noticed the absence of an ant representative in this Assembly.
FIN_BBF07,"Nous n’avons eu que peu de nouvelles depuis, et pour cette Assemblée, elles nous ont juste fait parvenir ce message par l’intermédiaire de Termite :","We've heard little since then, and for this Assembly, they just sent us a message via Termite:"
FIN_BBF08,"‘Débrouillez-vous avec votre béton, nos colonies s’épanouissent très bien sans votre coopération.’","‘Deal with your concrete yourselves, our colonies are thriving perfectly well without your cooperation.’"
FIN_BBF09,Le problème des gravats reste ouvert et sera le cœur des discussions de ce jour.,"Moreover, the issue of rubble remains unaddressed and will likely be the focus of today's discussions."
FIN_BRC00,L’attaque contre les Bêtes a été particulièrement efficace et elles sont désormais un souvenir.,"The attack on the Beasts proved particularly decisive, and they're now a thing of the past."
FIN_BRC01,"Nous sommes très reconnaissants aux tiques, aux rats, et aux bactéries pour leur bravoure.","We're very grateful to ticks, rats, and bacteria for their bravery."
FIN_BRC02,"L’activité des blocs des Horreurs a faibli, confirmant l’hypothèse de leur dépendance aux femelles Bêtes.","The activity of the Horror blocks has declined, confirming the hypothesis of their dependence on female Beasts."
FIN_BRC03,"Une attaque, peut-être finale, est donc à l’ordre du jour de la présente Assemblée.","Therefore, an attack, potentially the final one, is on the agenda of this Assembly."
FIN_BRC04,Un autre sujet délicat :,Another sensitive subject:
FIN_BRC05,les conflits permanents entre les escargots et les fourmis autour de la dégradation du béton s’étendent et affectent maintenant les autres espèces.,the ongoing conflicts between snails and ants over concrete degradation are spreading and now affecting other species.
FIN_BRC06,Nous encourageons leurs délégués à entamer des discussions constructives durant cette Assemblée.,We urge their officials to engage in constructive discussions during this Assembly.
FIN_BRF00,L’attaque contre les Bêtes a été particulièrement efficace et elles sont désormais un souvenir.,"The attack on the Beasts proved particularly decisive, and they are now a thing of the past."
FIN_BRF01,"Nous sommes très reconnaissants aux tiques, aux rats, et aux bactéries pour leur bravoure.","We're very grateful to ticks, rats, and bacteria for their bravery."
FIN_BRF02,"L’activité des blocs des Horreurs a faibli, confirmant l’hypothèse de leur dépendance aux femelles Bêtes. ","The activity of the Horror blocks has declined, confirming the hypothesis of their dependence on female Beasts."
FIN_BRF03,"Une attaque, peut-être finale, est donc à l’ordre du jour de la présente Assemblée.","Therefore, an attack, potentially the final one, is on the agenda of this Assembly."
FIN_BRF04,La dégradation du béton par les escargots progresse.,The degradation of concrete by snails is progressing.
FIN_BRF05,Des propositions d’accélération seront discutées aujourd’hui.,"Today, we'll discuss proposals for acceleration."
FIN_BRF06,"Malheureusement, ce sera sans les fourmis.","Sadly, it will be without the ants."
FIN_BRF07,"Vous savez tous que la dernière fois, leur représentante était partie vexée","At the last meeting, their representative left in a huff."
FIN_BRF08,"Nous n’avons eu que peu de nouvelles depuis, et pour cette Assemblée, elles nous ont juste fait parvenir ce message par l’intermédiaire de Termite :","We've heard little since then, and for this Assembly, they just sent us a message via Termite:"
FIN_BRF09,"‘Débrouillez-vous avec votre béton, nos colonies s’épanouissent très bien sans votre coopération.’","‘Deal with your concrete yourselves, our colonies are thriving perfectly well without your cooperation.’"
REPLAY00,"Voilà 45 millions d’années que je suis témoin de ce spectacle. Nombre d’entre iels sont bien plus anciens que moi, et pourtant…","I've been watching this show for 45 million years. Many of them are much older than me, and yet..."
REPLAY01,To be (éternellement ?) continued.,To be (eternally?) continued.
